"","BLUE","COH","GREEN","NOI","PHYS","PLEA","PPHQ3","PPHQ4","PSS","SAFE"
"BLUE","1.00","-0.06*","0.56***","0.06*","","-0.13***","","","","-0.09**"
"COH","-0.06*","1.00","-0.14***","-0.49***","","0.64***","","","","0.47***"
"GREEN","0.56***","-0.14***","1.00","0.08**","","-0.20***","","","","-0.14***"
"NOI","0.06*","-0.49***","0.08**","1.00","","-0.49***","","","","-0.38***"
"PHYS","","","","","0.98***","","","","-0.04*",""
"PLEA","-0.13***","0.64***","-0.20***","-0.49***","","1.00","","","","0.67***"
"PPHQ3","","","","","","","0.54***","0.28***","",""
"PPHQ4","","","","","","","0.28***","0.43***","",""
"PSS","","","","","-0.04*","","","","0.86***",""
"SAFE","-0.09**","0.47***","-0.14***","-0.38***","","0.67***","","","","1.00"
