"variable","model","Df","AIC","BIC","Chisq","Chisq diff","Df diff","p","rmsea","cfi","tli","srmr","Drmsea","Dcfi","Dtli","Dsrmr"
"coh","config",10,"112411.58","112629.33","1765.42"," NA",NA," NA","0.18","0.91","0.83","0.06"," NA"," NA"," NA"," NA"
"coh","metric",14,"112408.88","112597.60","1770.72","5.30",4,"0.26","0.15","0.91","0.88","0.06","-0.03","-0.00","0.05","0.00"
"coh","scalar",18,"112421.25","112580.93","1791.08","20.36",4,"0.00***","0.14","0.91","0.90","0.06","-0.02","-0.00","0.03","0.00"
"pss","config",70,"250481.83","250920.07","7591.81"," NA",NA," NA","0.14","0.85","0.81","0.07"," NA"," NA"," NA"," NA"
"pss","metric",79,"250504.56","250877.06","7632.54","40.73",9,"0.00***","0.13","0.85","0.83","0.07","-0.01","-0.00","0.02","0.00"
"pss","scalar",88,"250574.46","250881.22","7720.44","87.90",9,"0.00***","0.13","0.85","0.85","0.07","-0.01","-0.00","0.02","0.00"
"phq","config",54,"173899.52","174294.45","2782.78"," NA",NA," NA","0.10","0.94","0.92","0.04"," NA"," NA"," NA"," NA"
"phq","metric",62,"174127.42","174463.84","3026.68","243.89",8,"0.00***","0.09","0.93","0.92","0.05","-0.00","-0.01","0.00","0.01"
"phq","scalar",70,"174167.88","174445.79","3083.14","56.46",8,"0.00***","0.09","0.93","0.93","0.05","-0.00","-0.00","0.01","0.00"
"plea","config",4,"94714.54","94890.18","690.86"," NA",NA," NA","0.18","0.88","0.64","0.05"," NA"," NA"," NA"," NA"
"plea","metric",7,"94710.80","94864.49","693.12","2.26",3,"0.52","0.13","0.88","0.79","0.05","-0.04","0.00","0.15","0.00"
"plea","scalar",10,"94730.03","94861.76","718.34","25.22",3,"0.00***","0.11","0.88","0.85","0.05","-0.02","-0.00","0.06","0.00"
"safe","config",18,"110128.79","110391.47","5268.63"," NA",NA," NA","0.23","0.82","0.70","0.08"," NA"," NA"," NA"," NA"
"safe","metric",23,"110120.78","110346.97","5270.61","1.99",5,"0.85","0.20","0.82","0.76","0.08","-0.03","0.00","0.07","0.00"
"safe","scalar",28,"110149.50","110339.21","5309.34","38.72",5,"0.00***","0.19","0.82","0.80","0.08","-0.02","-0.00","0.04","0.00"
"green","config",4,"97384.08","97557.91","284.09"," NA",NA," NA","0.12","0.93","0.80","0.03"," NA"," NA"," NA"," NA"
"green","metric",7,"97384.96","97537.06","290.97","6.88",3,"0.08","0.09","0.93","0.88","0.03","-0.03","-0.00","0.08","0.00"
"green","scalar",10,"97391.79","97522.15","303.80","12.83",3,"0.01**","0.08","0.93","0.92","0.04","-0.01","-0.00","0.03","0.00"
"blue","config",0,"73931.64","74062.14","0.00"," NA",NA," NA","0.00","1.00","1.00","0.00"," NA"," NA"," NA"," NA"
"blue","metric",2,"73929.20","74045.20","1.56","1.56",2,"0.46","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00"
"blue","scalar",4,"73927.36","74028.87","3.73","2.17",2,"0.34","0.00","1.00","1.00","0.01","0.00","0.00","-0.00","0.00"
"noi","config",0,"69694.28","69826.24","0.00"," NA",NA," NA","0.00","1.00","1.00","0.00"," NA"," NA"," NA"," NA"
"noi","metric",2,"69690.39","69807.69","0.11","0.11",2,"0.95","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00"
"noi","scalar",4,"69703.24","69805.87","16.95","16.85",2,"0.00***","0.02","1.00","1.00","0.01","0.02","-0.00","-0.00","0.01"
